Key,English,Russian
DefenceUnits.Frost,Frost,Морозный
DefenceUnits.Shooter,Shooter,Стрелок
DefenceUnits.DoubleShooter,Double Shooter,Двойной Стрелок
DefenceUnits.Piercing,Piercing Shooter,Сквозной Стрелок
DefenceUnits.Mine,Mine,Мина
DefenceUnits.Bomb,Bomb,Бомба
DefenceUnits.Suicide,Suicide,Самоубийца
DefenceUnits.Mining,Mining,Добытчик
DefenceUnits.Chest,Chest,Сундук
DefenceUnits.Wall,Wall,Стена 
DefenceUnits.Ballista,Ballista,Баллиста 
DefenceUnits.Spike,Spike,Шипы
DefenceUnits.Poison,Poison,Ядовитый
DefenceUnits.ExplodingWall,Exploding Wall,Взрывающаяся Стенка
DefenceUnits.Description.Frost,Frosty unit shoots single bullets and slows down the opponent.,Морозный юнит стреляет одиночными пулями и замедляет противника.
DefenceUnits.Description.Shooter,The shooter shoots simple bullets and clearly hits the target.,Стрелок стреляет простыми пулями и четко попадает в цель.
DefenceUnits.Description.DoubleShooter,This shooter deals as many as 2 bullets per shot.,Этот стрелок наносит до 2 пуль за выстрел.
DefenceUnits.Description.Piercing,His bullets pass through the enemy's body.,Его пули проходят сквозь тело противника.
DefenceUnits.Description.Mine,"The mine is almost invisible on the battlefield, but when it is stepped on, it becomes very painful for the enemy.","Мина почти незаметно на поле боя, но когда на нее наступают, она становится очень болезненной для противника."
DefenceUnits.Description.Bomb,The bomb is capable of destroying the enemy in seconds.,Бомба способна уничтожить врага за считанные секунды.
DefenceUnits.Description.Suicide,"These rockets fly at the speed of light, demolishing everything in their path.","Эти ракеты летят со скоростью света, снося все на своем пути."
DefenceUnits.Description.Mining,"The barrel earns money, so you build your army on the battlefield.","Бочка зарабатывает деньги, чтобы вы строили свою армию на поле боя."
DefenceUnits.Description.Chest,The chest produces currency that improves your defenders.,"Сундук производит валюту, которая улучшает ваших защитников."
DefenceUnits.Description.Wall,The wall protects your team from the barbarians.,Стена защищает вашу команду от варваров.
DefenceUnits.Description.Ballista,"This shooter has perfect vision and accuracy. Shoots at any enemy, wherever he is.","Этот стрелок обладает идеальным зрением и точностью. Стреляет в любого врага, где бы он ни находился."
DefenceUnits.Description.Spike,This unit cannot be destroyed.He inflicts injuries to all enemies who are above him.,"Это устройство не может быть уничтожено.Он наносит увечья всем врагам, которые находятся выше него."
DefenceUnits.Description.Poison,This unit infects the enemy with poison and very slowly kills him from the inside.,Этот юнит заражает врага ядом и очень медленно убивает его изнутри.
DefenceUnits.Description.ExplodingWall,"When the wall falls, it smashes the enemies' body into splinters.","Когда стена падает, она разбивает тела врагов в щепки."